	Administrative	Administrative_Duration	Informational	Informational_Duration	ProductRelated	ProductRelated_Duration	BounceRates	ExitRates	PageValues	class
0	0.0	0.0	0.0	0.0	0.007092198581560284	0.0018781796808141134	0.2	0.25	0.0	-1
1	0.0	0.0	0.0	0.0	0.00425531914893617	0.004377915227401363	0.0	0.333333335	0.0	-1
2	0.0	0.0	0.041666666666666664	0.060128456247437706	0.011347517730496455	0.010307789821130193	0.0	0.07142857	0.0	-1
3	0.0	0.0	0.0	0.0	0.00425531914893617	0.0	1.0	1.0	0.0	-1
4	0.0	0.0	0.0	0.0	0.005673758865248227	0.00032429001684454537	0.5	0.75	0.0	-1
5	0.0	0.0	0.0	0.0	0.021276595744680854	0.0020704373336576654	0.0	0.0625	0.10960122922147386	1
6	0.14814814814814814	0.012130123139128837	0.0	0.0	0.04964539007092199	0.016282061263175336	0.0	0.027142855	0.0	-1
7	0.5185185185185185	0.1379447055320713	0.0	0.0	0.22127659574468087	0.12584390941948112	0.050049605	0.145373645	0.008271331345381577	-1
8	0.07407407407407407	0.03749310788458004	0.0	0.0	0.02269503546099291	0.011647416437561137	0.0	0.02222222	0.0	-1
9	0.037037037037037035	0.022514243705201248	0.125	0.49332665239375023	0.019858156028368795	0.05166634875512561	0.0	0.058823530000000006	0.0	-1
10	0.0	0.0	0.0	0.0	0.014184397163120569	0.0019322280171092947	0.0	0.11111111000000001	0.0	-1
11	0.18518518518518517	0.26631133982723765	0.0	0.0	0.03262411347517731	0.02009053866183519	0.0	0.004132230000000001	0.165820929662382	1
12	0.0	0.0	0.0	0.0	0.00851063829787234	0.004377915227401363	0.333333335	0.583333335	0.0	-1
13	0.5185185185185185	0.18841410714942106	0.16666666666666666	0.0961144262743133	0.08652482269503546	0.054729142023877936	0.02807541	0.12253661	0.07633754672305927	-1
14	0.37037037037037035	0.027997304418305457	0.0	0.0	0.024113475177304965	0.00935808334322831	0.0	0.12878788	0.0	-1
15	0.0	0.0	0.0	0.0	0.009929078014184398	0.0032535168051295556	0.142857145	0.17142857	0.0	-1
16	0.037037037037037035	0.0	0.041666666666666664	0.006301340741584293	0.0921985815602837	0.07352322846700193	0.085074625	0.202703695	0.0	-1
17	0.037037037037037035	0.027568461679838265	0.0	0.0	0.02695035460992908	0.041077700615835405	0.058823530000000006	0.15196078500000001	0.07772021234723966	1
18	0.0	0.0	0.0	0.0	0.1574468085106383	0.06497470364836724	0.027027025000000003	0.19096369	0.0	-1
19	0.037037037037037035	0.002021687189854806	0.0	0.0	0.03120567375886525	0.007858242015322287	0.0	0.134920635	0.0	-1
20	0.07407407407407407	0.016724866752435213	0.0	0.0	0.03120567375886525	0.012392511357987985	0.0	0.125	0.026675558985863095	1
