	fixed_acidity	volatile_acidity	citric_acid	residual_sugar	chlorides	free_sf_diox	tot_sf_diox	density	pH	sulphates	alcohol	class
0	0.375	0.21621621621621628	0.24096385542168677	0.3282208588957055	0.11572700296735905	0.16027874564459932	0.36511627906976746	0.26778484673221215	0.19090909090909092	0.3255813953488372	0.11570247933884281	-1
1	0.32500000000000007	0.08648648648648649	0.22289156626506026	0.013803680981595092	0.08308605341246292	0.08710801393728224	0.23023255813953492	0.12222864854443927	0.6000000000000001	0.3255813953488372	0.2975206611570249	-1
2	0.4125	0.34594594594594597	0.31325301204819284	0.010736196319018405	0.4124629080118695	0.14982578397212543	0.3232558139534884	0.14594177752072213	0.3272727272727276	0.3953488372093023	0.11570247933884281	-1
3	0.48750000000000004	0.3675675675675676	0.18674698795180725	0.13190184049079753	0.11572700296735905	0.06968641114982578	0.4906976744186046	0.1887410834779253	0.3090909090909091	0.45348837209302323	0.1983471074380163	-1
4	0.4375	0.0648648648648649	0.29518072289156627	0.007668711656441719	0.086053412462908	0.09059233449477352	0.2069767441860465	0.10969732022363843	0.4363636363636365	0.5813953488372092	0.4297520661157024	-1
5	0.475	0.05405405405405406	0.20481927710843376	0.1334355828220859	0.1572700296735905	0.13240418118466898	0.26976744186046514	0.18295739348371143	0.44545454545454577	0.19767441860465118	0.2644628099173554	-1
6	0.23750000000000004	0.3027027027027027	0.20481927710843376	0.05521472392638037	0.05044510385756676	0.06620209059233449	0.15581395348837207	0.06921149026412365	0.6272727272727274	0.26744186046511625	0.6446280991735538	-1
7	0.38750000000000007	0.11891891891891893	0.18674698795180725	0.2860429447852761	0.10089020771513352	0.1254355400696864	0.36511627906976746	0.2396375554270307	0.19090909090909092	0.3488372093023256	0.18181818181818166	1
8	0.4125	0.12972972972972974	0.20481927710843376	0.2361963190184049	0.12166172106824924	0.17073170731707318	0.3627906976744186	0.21958743011374793	0.44545454545454577	0.441860465116279	0.1983471074380163	-1
9	0.4125	0.1837837837837838	0.18072289156626506	0.02760736196319018	0.09792284866468842	0.08013937282229966	0.26046511627906976	0.13283208020050452	0.645454545454546	0.45348837209302323	0.4132231404958677	-1
10	0.36250000000000004	0.33513513513513515	0.14457831325301204	0.03220858895705522	0.023738872403560828	0.06968641114982578	0.16279069767441862	0.07191054559475418	0.28181818181818175	0.17441860465116277	0.5785123966942147	-1
11	0.38750000000000007	0.17297297297297298	0.24096385542168677	0.22699386503067484	0.12759643916913946	0.27526132404181186	0.4372093023255814	0.22151532677848706	0.4363636363636365	0.5465116279069766	0.23140495867768607	-1
12	0.38750000000000007	0.10810810810810811	0.21686746987951808	0.010736196319018405	0.08011869436201781	0.13240418118466898	0.2488372093023256	0.1212647002120697	0.5	0.8488372093023253	0.24793388429752072	1
